iter	RMSE
0	0.1941345853
1	0.1755992469
2	0.1588313575
3	0.1435237992
4	0.1296316209
5	0.1172800148
6	0.1061873537
7	0.09641841058
8	0.08732841874
9	0.07922520715
10	0.07173736732
11	0.06563389093
12	0.05982763675
13	0.05466592503
14	0.04974242254
15	0.04559039587
16	0.04204224133
17	0.0388058646
18	0.03593675125
19	0.03342322909
20	0.03121516001
21	0.02930837062
22	0.02762114291
23	0.02622432221
24	0.02496453945
25	0.02384366654
26	0.02287341666
27	0.02204851418
28	0.02131318443
29	0.02057163971
30	0.0200737884
31	0.01964207816
32	0.01910099087
33	0.01872494317
34	0.01847942485
35	0.01797266743
36	0.01764459925
37	0.01723219074
38	0.01696604567
39	0.01668498617
40	0.01637851349
41	0.01610722108
42	0.01591528276
43	0.0157755515
44	0.01561747111
45	0.01544631929
46	0.0153315587
47	0.01511258048
48	0.01491383735
49	0.01479346926
50	0.01467943757
51	0.01450330167
52	0.01429916505
53	0.01416830537
54	0.01401501585
55	0.01383343943
56	0.01369985617
57	0.01349909453
58	0.01338974143
59	0.01329255302
60	0.01321190615
61	0.01298889551
62	0.01287655137
63	0.01269943534
64	0.01249078479
65	0.01234028836
66	0.01216165175
67	0.01202394359
68	0.0118775287
69	0.01176524596
70	0.01163006839
71	0.01155023209
72	0.01147621193
73	0.0114284887
74	0.01135608108
75	0.01132597093
76	0.0112639684
77	0.0111144518
78	0.01101198413
79	0.01096792143
80	0.01083699468
81	0.01071170266
82	0.0106101751
83	0.01056276797
84	0.01050369358
85	0.01036323051
86	0.01024118886
87	0.01019868505
88	0.01007567469
89	0.009920629929
90	0.009834104143
91	0.009780455439
92	0.009746816654
93	0.009623384701
94	0.009596632305
95	0.009501439821
96	0.009459330912
97	0.009413605329
98	0.009359144721
99	0.009275202876
100	0.009230521502
101	0.009198166316
102	0.009134438278
103	0.009106375251
104	0.00897272748
105	0.008860164829
106	0.008839545885
107	0.008809308127
108	0.008771834742
109	0.00875856732
110	0.008722166716
111	0.008639674317
112	0.008611727376
113	0.008577579947
114	0.008477757486
115	0.00845389799
116	0.00843417358
117	0.008381117518
118	0.008355246718
119	0.008280212206
120	0.008210568398
121	0.008125628594
122	0.008088279659
123	0.008045925836
124	0.007963939655
125	0.007904370643
126	0.007832273935
127	0.007761908145
128	0.007728415588
129	0.00763856844
130	0.007558678531
131	0.007468345036
132	0.007409217932
133	0.007368959128
134	0.007338753124
135	0.007315331938
136	0.007245629258
137	0.007187363424
138	0.007134558416
139	0.00711360448
140	0.007061386553
141	0.006995679062
142	0.006929996079
143	0.006917065803
144	0.006839557217
145	0.006813970695
146	0.006745390922
147	0.006710034277
148	0.006631632695
149	0.006571590295
150	0.006521813702
151	0.006483361547
152	0.006438950134
153	0.006381370734
154	0.006349350134
155	0.006327506369
156	0.006269480722
157	0.006228491626
158	0.006173426355
159	0.006157584749
160	0.006075804365
161	0.006034366525
162	0.006011291137
163	0.005984709113
164	0.005957698385
165	0.005933240995
166	0.005880898773
167	0.005817460673
168	0.005754901175
169	0.005729940666
170	0.005681441714
171	0.00561472205
172	0.005579324684
173	0.005544612618
174	0.005518293393
175	0.005457741974
176	0.005431240208
177	0.005421499424
178	0.005396004781
179	0.005373172372
180	0.005332081401
181	0.005277879858
182	0.005244458118
183	0.005222653806
184	0.00516007701
185	0.005098127105
186	0.005065333165
187	0.00502532037
188	0.005006403971
189	0.004975362737
190	0.004949848002
191	0.00493326847
192	0.004914630771
193	0.004880357849
194	0.004839990859
195	0.004832366512
196	0.004817267803
197	0.004754997004
198	0.004718979335
199	0.004690354607
